id,node0_id,node1_id,name,alias,type,diameter,length,roughness,rin,rout,pimin,pomax
72573,68241,68219,GS-7215^GS-7279,,pipeline,500,8.737000465393066,0.006000000052154064,,,,
72574,68508,68222,IN-3602^IN-3583,,pipeline,1200,9.020000457763672,0.006000000052154064,,,,
72575,68509,68222,GS-1057^IN-3583,,pipeline,900,0.8600000143051147,0.006000000052154064,,,,
72576,68225,68224,IN-0155^IN-1941,,pipeline,300,4.239999771118164,0.006000000052154064,,,,
72577,68225,68226,IN-0155^IN-0156,,pipeline,300,6.02400016784668,0.006000000052154064,,,,
72578,68225,68227,IN-0155^GS-0808,,pipeline,300,4.289999961853027,0.006000000052154064,,,,
72579,68226,68228,CV_BNN_0164,,control valve,300,,,0,0,1,100
72580,69737,68229,CV_GUD_20,,control valve,1000,,,0,0,1,100
72581,68230,68237,GS-3431^GS-3430,,pipeline,600,0.33399999141693115,0.006000000052154064,,,,
72582,68231,68230,GS-3269^GS-3431,,pipeline,600,2.3940000534057617,0.006000000052154064,,,,
72583,68231,68232,GS-3269^IN-0154,,pipeline,600,9.906000137329102,0.006000000052154064,,,,
72584,68232,68233,CV_TNP_001,,control valve,900,,,0,0,1,100
72585,68233,68234,IN-1600^IN-1601,,pipeline,950,11.640000343322754,0.006000000052154064,,,,
72586,68233,68235,IN-1600^IN-1213,,pipeline,950,1.2920000553131104,0.006000000052154064,,,,
72587,68449,68236,GS-1654^IN-3582,,pipeline,500,3.01200008392334,0.006000000052154064,,,,
72588,68928,68236,IN-3385^IN-3582,,pipeline,300,4.708000183105469,0.006000000052154064,,,,
72589,68239,68238,GS-7236^GS-7274,,pipeline,500,14.166000366210938,0.006000000052154064,,,,
72590,68239,69721,GS-7236^GS-0041,,pipeline,200,16.382999420166016,0.006000000052154064,,,,
72591,68239,68241,GS-7236^GS-7215,,pipeline,500,4.881999969482422,0.006000000052154064,,,,
72592,68239,68240,CV_BNN_0140,,control valve,200,,,0,0,1,100
72593,68243,68242,GS-1513^GS-1794,,pipeline,350,6.692999839782715,0.006000000052154064,,,,
72594,68257,68244,IN-0454^GS-4291,,pipeline,100,8.9350004196167,0.006000000052154064,,,,
72595,68245,68249,GS-3293^GS-2173,,pipeline,300,0.041999999433755875,0.006000000052154064,,,,
72596,68268,68246,GS-2098^IN-3578,,pipeline,300,1.1629999876022339,0.006000000052154064,,,,
72597,68257,68247,IN-0454^IN-0453,,pipeline,700,13.640999794006348,0.006000000052154064,,,,
72598,68248,68252,GS-3385^GS-3292,,pipeline,300,0.8610000014305115,0.006000000052154064,,,,
72599,68249,68248,GS-2173^GS-3385,,pipeline,300,0.125,0.006000000052154064,,,,
72600,69670,68250,GS-0640^IN-1583,,pipeline,900,0.07599999755620956,0.006000000052154064,,,,
72601,69722,68250,GS-0634^IN-1583,,pipeline,900,2.9260001182556152,0.006000000052154064,,,,
72602,68251,68253,GS-3294^IN-3579,,pipeline,300,8.404000282287598,0.006000000052154064,,,,
72603,68252,68251,GS-3292^GS-3294,,pipeline,300,0.2029999941587448,0.006000000052154064,,,,
72604,68253,68939,IN-3579^IN-3390,,pipeline,650,0.4350000023841858,0.006000000052154064,,,,
72605,68569,68253,IN-3607^IN-3579,,pipeline,650,0.1679999977350235,0.006000000052154064,,,,
72606,69739,68254,GS-0101^GS-3258,,pipeline,1000,4.2789998054504395,0.006000000052154064,,,,
72607,68255,68262,GS-4353^GS-4340,,pipeline,200,3.7290000915527344,0.006000000052154064,,,,
72608,68255,68256,GS-4353^GS-4339,,pipeline,200,5.866000175476074,0.006000000052154064,,,,
72609,68256,68267,GS-4339^IN-0169,,pipeline,200,10.347000122070312,0.006000000052154064,,,,
72610,68258,69593,IN-1348^VK146,,pipeline,1000,21.16233253479004,0.006000000052154064,,,,
72611,68261,68259,GS-2739^IN-3575,,pipeline,300,1.4889999628067017,0.006000000052154064,,,,
72612,68260,68984,IN-3576^IN-3424,,pipeline,300,0.1340000033378601,0.006000000052154064,,,,
72613,68261,68260,GS-2739^IN-3576,,pipeline,300,5.160999774932861,0.006000000052154064,,,,
72614,68266,68263,IN-0171^GS-4322,,pipeline,300,3.500999927520752,0.006000000052154064,,,,
72615,68264,68270,IN-0172^GS-4699,,pipeline,100,0.4009999930858612,0.006000000052154064,,,,
72616,68264,68271,IN-0172^GS-4698,,pipeline,100,0.5960000157356262,0.006000000052154064,,,,
72617,68266,68264,IN-0171^IN-0172,,pipeline,100,2.6989998817443848,0.006000000052154064,,,,
72618,68266,68265,IN-0171^GS-4334,,pipeline,300,1.0240000486373901,0.006000000052154064,,,,
72619,68269,68268,GS-3295^GS-2098,,pipeline,300,0.1940000057220459,0.006000000052154064,,,,
72620,68285,68272,VK102^VK104,,pipeline,1200,10.803999900817871,0.006000000052154064,,,,
72621,68286,68273,IN-1681^GS-3980,,pipeline,400,0.7879999876022339,0.006000000052154064,,,,
72622,68274,68285,VK106^VK102,,pipeline,1200,10.803999900817871,0.006000000052154064,,,,
72623,68276,68274,VK108^VK106,,pipeline,1200,5.4019999504089355,0.006000000052154064,,,,
72624,68282,68275,IN-3637^IN-3636,,pipeline,800,0.2409999966621399,0.006000000052154064,,,,
72625,68284,68275,IN-3638^IN-3636,,pipeline,800,0.27000001072883606,0.006000000052154064,,,,
72626,69193,68277,GS-4021^GS-3955,,pipeline,800,4.031000137329102,0.006000000052154064,,,,
72627,68278,68293,VK110^VK112,,pipeline,900,10.251500129699707,0.006000000052154064,,,,
72628,68279,68281,VK96^VK98,,pipeline,1000,11.73075008392334,0.006000000052154064,,,,
72629,68280,68482,IN-3634^GS-2801,,pipeline,800,0.23499999940395355,0.006000000052154064,,,,
72630,68481,68280,IN-3635^IN-3634,,pipeline,800,0.27000001072883606,0.006000000052154064,,,,
72631,68281,68283,VK98^VK100,,pipeline,1000,5.86537504196167,0.006000000052154064,,,,
72632,68481,68282,IN-3635^IN-3637,,pipeline,800,0.2240000069141388,0.006000000052154064,,,,
72633,68481,68284,IN-3635^IN-3638,,pipeline,800,0.1899999976158142,0.006000000052154064,,,,
72634,68286,68484,CV_THY_0110,,control valve,400,,,0,0,1,100
72635,68287,69404,VK120^IN-0405,,pipeline,1200,13.990337371826172,0.006000000052154064,,,,
72636,68299,68287,VK118^VK120,,pipeline,1200,22.19700050354004,0.006000000052154064,,,,
72637,68469,68288,IN-0227^IN-1646,,pipeline,400,1.1460000276565552,0.006000000052154064,,,,
72638,68291,68290,GS-2988^GS-3463,,pipeline,700,0.08699999749660492,0.006000000052154064,,,,
72639,68291,68292,GS-2988^GS-3462,,pipeline,700,0.10300000011920929,0.006000000052154064,,,,
72640,68292,68315,GS-3462^IN-3633,,pipeline,700,0.8190000057220459,0.006000000052154064,,,,
72641,68293,68295,VK112^VK114,,pipeline,900,5.1257500648498535,0.006000000052154064,,,,
72642,69050,68294,IN-0418^GS-4347,,pipeline,150,1.8109999895095825,0.006000000052154064,,,,
72643,68295,68297,VK114^VK116,,pipeline,900,2.5628750324249268,0.006000000052154064,,,,
72644,69050,68296,CV_OGE_006,,control valve,500,,,0,0,1,100
72645,68297,68995,VK116^IN-0304,,pipeline,900,7.939489364624023,0.006000000052154064,,,,
72646,68298,69623,VA2,,valve,1100,,,,,,
72647,69050,68298,IN-0418^GS-2353,,pipeline,500,12.062999725341797,0.006000000052154064,,,,
72648,68744,68298,IN-0421^GS-2353,,pipeline,500,6.179999828338623,0.006000000052154064,,,,
72649,68743,68298,VA1,,valve,1100,,,,,,
72650,69429,68299,IN-0037^VK118,,pipeline,1200,34.456459045410156,0.006000000052154064,,,,
72651,68469,68300,IN-0227^IN-1707,,pipeline,80,5.860000133514404,0.006000000052154064,,,,
72652,68301,68346,GS-2711^IN-0138,,pipeline,900,10.434000015258789,0.006000000052154064,,,,
72653,68301,68342,GS-2711^GS-2900,,pipeline,900,10.659000396728516,0.006000000052154064,,,,
72654,68304,68301,GS-2901^GS-2711,,pipeline,900,0.2029999941587448,0.006000000052154064,,,,
72655,68349,68301,IN-1338^GS-2711,,pipeline,900,9.812999725341797,0.006000000052154064,,,,
72656,68321,68301,CV_OGE_0112,,control valve,300,,,0,0,1,100
72657,68302,68312,VK127^VK122,,pipeline,600,15.55634880065918,0.0010000000474974513,,,,
72658,68314,68302,VK121^VK127,,pipeline,600,8.602325439453125,0.0010000000474974513,,,,
72659,68303,68317,VK125^VK123,,pipeline,600,9.433980941772461,0.0010000000474974513,,,,
72660,68312,68303,VK122^VK125,,pipeline,600,10.29563045501709,0.0010000000474974513,,,,
72661,68304,68310,GS-2901^GS-2611,,pipeline,900,9.51099967956543,0.006000000052154064,,,,
72662,68305,68307,N2301_1^N7810_1,,pipeline,1400,1.9764900207519531,0.012000000104308128,,,,
72663,68445,68305,N2299_1^N2301_1,,pipeline,1400,1.9764900207519531,0.012000000104308128,,,,
72664,68306,68335,GS-7115^IN-3640,,pipeline,600,13.118000030517578,0.006000000052154064,,,,
72665,68306,68308,GS-7115^GS-3791,,pipeline,600,7.876999855041504,0.006000000052154064,,,,
72666,68311,68307,CS00_N02_1^N7810_1,,pipeline,1400,2.849479913711548,0.012000000104308128,,,,
72667,68308,68324,GS-3791^GS-4046,,pipeline,600,11.78600025177002,0.006000000052154064,,,,
72668,68309,68448,N8619_1^N8618_1,,pipeline,1400,20.22463035583496,0.012000000104308128,,,,
72669,68333,68309,N8611_1^N8619_1,,pipeline,1400,16.054019927978516,0.012000000104308128,,,,
72670,68349,68310,IN-1338^GS-2611,,pipeline,900,0.27799999713897705,0.006000000052154064,,,,
72671,68311,69680,CS00_N02_1^GS-0082,,pipeline,1400,13.515377044677734,0.012000000104308128,,,,
72672,69038,68313,IN-0527^GS-3501,,pipeline,400,17.225000381469727,0.006000000052154064,,,,
72673,68315,68316,IN-3633^GS-2986,,pipeline,700,3.444999933242798,0.006000000052154064,,,,
72674,68965,68316,GS-2987^GS-2986,,pipeline,700,1.159999966621399,0.006000000052154064,,,,
72675,69038,68318,IN-0527^GS-6926,,pipeline,300,3.8289999961853027,0.006000000052154064,,,,
72676,68319,68329,N2100_1^N2096_1,,pipeline,1400,5.929480075836182,0.012000000104308128,,,,
72677,68325,68319,N8620_1^N2100_1,,pipeline,1400,11.858949661254883,0.012000000104308128,,,,
72678,68320,68328,N8604_1^N8614_1,,pipeline,1400,14.134659767150879,0.012000000104308128,,,,
72679,68322,68320,IN-1358_2^N8604_1,,pipeline,1400,14.910360336303711,0.012000000104308128,,,,
72680,68321,68327,IN-0413^GS-2610,,pipeline,300,7.948999881744385,0.006000000052154064,,,,
72681,68321,68330,IN-0413^IN-0412,,pipeline,300,15.741999626159668,0.006000000052154064,,,,
72682,68322,69638,IN-1358_2^IN-1358_4,,pipeline,1400,0.003074720036238432,0.012000000104308128,,,,
72683,68323,69637,IN-1318_2^IN-1318_4,,pipeline,1400,3.2783100605010986,0.012000000104308128,,,,
72684,68331,68323,CS25_N03_1^IN-1318_2,,pipeline,1400,3.2783100605010986,0.012000000104308128,,,,
72685,68446,68325,N8621_1^N8620_1,,pipeline,1400,24.94930076599121,0.012000000104308128,,,,
72686,68326,68340,N8615_1^N8610_1,,pipeline,1400,20.918970108032227,0.012000000104308128,,,,
72687,68328,68341,N8614_1^N8613_1,,pipeline,1400,8.902509689331055,0.012000000104308128,,,,
72688,68329,68445,N2096_1^N2299_1,,pipeline,1400,1.9764900207519531,0.012000000104308128,,,,
72689,68334,68331,N8602_1^CS25_N03_1,,pipeline,1400,14.872369766235352,0.012000000104308128,,,,
72690,68332,68339,IN-1697^IN-0425,,pipeline,900,0.5860000252723694,0.006000000052154064,,,,
72691,68332,68342,IN-1697^GS-2900,,pipeline,900,0.6679999828338623,0.006000000052154064,,,,
72692,68447,68333,N8612_1^N8611_1,,pipeline,1400,21.34539031982422,0.012000000104308128,,,,
72693,68336,68334,N8608_1^N8602_1,,pipeline,1400,42.93973159790039,0.012000000104308128,,,,
72694,68345,68335,GS-0583^IN-3640,,pipeline,114,4.164999961853027,0.006000000052154064,,,,
72695,68337,68336,N8607_1^N8608_1,,pipeline,1400,19.83233070373535,0.012000000104308128,,,,
72696,68456,68337,N8606_1^N8607_1,,pipeline,1400,12.623270034790039,0.012000000104308128,,,,
72697,68338,68447,N8609_1^N8612_1,,pipeline,1400,9.90861988067627,0.012000000104308128,,,,
72698,68340,68338,N8610_1^N8609_1,,pipeline,1400,10.15645980834961,0.012000000104308128,,,,
72699,68343,68339,IN-1696^IN-0425,,pipeline,900,0.6039999723434448,0.006000000052154064,,,,
72700,68342,68343,GS-2900^IN-1696,,pipeline,900,0.6299999952316284,0.006000000052154064,,,,
72701,68346,68342,IN-0138^GS-2900,,pipeline,900,0.3610000014305115,0.006000000052154064,,,,
72702,68344,69302,N1348^GS-7292,,pipeline,400,13.664429664611816,0.012000000104308128,,,,
72703,68539,68344,IN-0149^N1348,,pipeline,400,50.37211227416992,0.012000000104308128,,,,
72704,68345,68361,GS-0583^GS-0594,,pipeline,114,0.1720000058412552,0.006000000052154064,,,,
72705,68347,68348,GS-LNG2^GS-LNG3,,pipeline,1200,36.727439880371094,0.006000000052154064,,,,
72706,68349,68350,IN-1338^IN-1339,,pipeline,900,12.406999588012695,0.006000000052154064,,,,
72707,68355,68350,IN-1262^IN-1339,,pipeline,900,18.878999710083008,0.006000000052154064,,,,
72708,68351,68919,VK84^IN-0153,,pipeline,900,20.57200050354004,0.006000000052154064,,,,
72709,69740,68351,GS-0108^VK84,,pipeline,900,12.321986198425293,0.006000000052154064,,,,
72710,68355,68352,VA_OGE_11_01,,valve,900,,,,,,
72711,68359,68352,VA_OGE_11_03,,valve,900,,,,,,
72712,68358,68352,CS_OGE_11,,compressor,900,,,0,0,1,100
72713,68353,68367,CVI_NO2_N0I,,valve,900,,,,,,
72714,68353,68369,CVI_NO2_N0O,,valve,900,,,,,,
72715,69725,68353,IC_NO2^CVI_NO2_N0,,pipeline,900,1.004639983177185,0.012000000104308128,,,,
72716,68354,68374,N2964^N2961,,pipeline,900,0.783449649810791,0.012000000104308128,,,,
72717,68372,68354,N2966^N2964,,pipeline,900,0.783449649810791,0.012000000104308128,,,,
72718,68355,68358,VA_OGE_11_02,,valve,900,,,,,,
72719,68359,68355,VA_OGE_11_05,,valve,900,,,,,,
72720,69503,68356,N0729^IN-0462,,pipeline,1000,7.165430068969727,0.012000000104308128,,,,
72721,68359,68356,CV_OGE_11_01,,control valve,1000,,,0,0,1,100
72722,68357,68973,VK82^IN-0316,,pipeline,750,7.817986488342285,0.006000000052154064,,,,
72723,68359,68358,VA_OGE_11_04,,valve,900,,,,,,
72724,68359,68360,GS-0565^IN-0139,,pipeline,900,76.21324157714844,0.006000000052154064,,,,
72725,68360,68373,IN-0139^IN-1418,,pipeline,900,8.138999938964844,0.006000000052154064,,,,
72726,68360,68376,IN-0139^GS-3441,,pipeline,900,0.8629999756813049,0.006000000052154064,,,,
