node;pressure[barg];flow[MW];CV[kWh/m3];R[1];
CS01-CS-IN;39,47;311,489;10,5;0,6
CS02-CS-IN;33,4;432,387;10,5;0,6
CS27-CS-IN;40;122,777;10,5;0,6
CS34-CS-IN;40;118,189;10,5;0,6
CS47-CS-IN;59,75;89,109;10,5;0,6
DSO_0001;56,67;95,818;10,5;0,6
DSO_0002;56,67;17,825;10,5;0,6
DSO_0003;56,67;61,548;10,5;0,6
DSO_0004;54,77;14,329;10,5;0,6
DSO_0005;56,68;26,266;10,5;0,6
DSO_0006;55,69;21,16;10,5;0,6
DSO_0007;56,14;44,988;10,5;0,6
DSO_0008;56,11;33,672;10,5;0,6
DSO_0009;56,68;6,118;10,5;0,6
DSO_0010;56,68;37,26;10,5;0,6
DSO_0011;56,67;35,351;10,5;0,6
DSO_0012;57,38;22,241;10,5;0,6
DSO_0013;52,41;13,547;10,5;0,6
DSO_0014;56,68;21,988;10,5;0,6
DSO_0015;49,24;29,21;10,5;0,6
DSO_0016;54,85;31,694;10,5;0,6
DSO_0017;56,63;18,653;10,5;0,6
DSO_0018;49,22;15,318;10,5;0,6
DSO_0019;49,53;15,157;10,5;0,6
DSO_0020;62,68;21,85;10,5;0,6
DSO_0021;56,02;39,422;10,5;0,6
DSO_0022;56,01;1,679;10,5;0,6
DSO_0023;58,96;55,453;10,5;0,6
DSO_0024;55,99;10,35;10,5;0,6
DSO_0025;57,24;29,21;10,5;0,6
DSO_0026;58,84;3,703;10,5;0,6
DSO_0027;57,44;7,337;10,5;0,6
DSO_0028;57,73;45,494;10,5;0,6
DSO_0029;59,05;21,022;10,5;0,6
DSO_0030;56,92;10,327;10,5;0,6
DSO_0031;56,08;32,039;10,5;0,6
DSO_0032;56,19;42,159;10,5;0,6
DSO_0033;56,34;14,812;10,5;0,6
DSO_0034;56,79;82,8;10,5;0,6
DSO_0035;56,41;7,82;10,5;0,6
DSO_0036;56,78;48,139;10,5;0,6
DSO_0037;56,09;36,984;10,5;0,6
DSO_0038;56,27;7,038;10,5;0,6
DSO_0039;62,67;6,854;10,5;0,6
DSO_0040;62,67;5,267;10,5;0,6
DSO_0041;57,78;85,744;10,5;0,6
DSO_0042;61,26;1,564;10,5;0,6
DSO_0043;56,13;26,657;10,5;0,6
DSO_0044;57,77;12,42;10,5;0,6
DSO_0045;57,76;40,618;10,5;0,6
DSO_0046;55,84;2,691;10,5;0,6
DSO_0047;57,33;36,248;10,5;0,6
DSO_0048;53,73;14,812;10,5;0,6
DSO_0049;55,44;5,819;10,5;0,6
DSO_0050;54,46;6,348;10,5;0,6
DSO_0051;56,96;33,028;10,5;0,6
DSO_0052;56,99;22,563;10,5;0,6
DSO_0053;56,98;31,625;10,5;0,6
DSO_0054;40,66;17,089;10,5;0,6
DSO_0055;57,12;48,553;10,5;0,6
DSO_0056;54,97;8,648;10,5;0,6
DSO_0057;40,77;1,725;10,5;0,6
DSO_0058;54,36;6,256;10,5;0,6
DSO_0059;54,3;24,058;10,5;0,6
DSO_0060;57,54;42,688;10,5;0,6
DSO_0061;58,54;11,891;10,5;0,6
DSO_0062;58,55;12,972;10,5;0,6
DSO_0063;58,56;9,66;10,5;0,6
DSO_0064;58,79;19,297;10,5;0,6
DSO_0065;58,74;23,621;10,5;0,6
DSO_0066;55,11;13,064;10,5;0,6
DSO_0067;58;1,61;10,5;0,6
DSO_0068;58,34;10,948;10,5;0,6
DSO_0069;58,43;15,824;10,5;0,6
DSO_0070;56,77;43,746;10,5;0,6
DSO_0071;56,79;80,017;10,5;0,6
DSO_0072;57,2;9,913;10,5;0,6
DSO_0073;56,57;9,844;10,5;0,6
DSO_0074;56,56;13,156;10,5;0,6
DSO_0075;54,31;7,981;10,5;0,6
DSO_0076;33,51;24,403;10,5;0,6
DSO_0077;56,68;38,87;10,5;0,6
DSO_0078;57,14;24,955;10,5;0,6
DSO_0079;57,12;35,282;10,5;0,6
DSO_0080;56,78;13,064;10,5;0,6
DSO_0081;56,6;83,352;10,5;0,6
DSO_0082;56,66;4,485;10,5;0,6
DSO_0083;57,71;28,198;10,5;0,6
DSO_0084;56,56;6,187;10,5;0,6
DSO_0085;58,98;22,862;10,5;0,6
DSO_0086;58,99;17,25;10,5;0,6
DSO_0087;55,74;22,839;10,5;0,6
DSO_0088;60,41;35,88;10,5;0,6
DSO_0089;57,57;15,318;10,5;0,6
DSO_0090;57,65;19,987;10,5;0,6
DSO_0091;57,58;12,466;10,5;0,6
DSO_0092;57,57;27,692;10,5;0,6
DSO_0093;57,74;7,452;10,5;0,6
DSO_0094;57,71;72,45;10,5;0,6
DSO_0095;57,59;17,48;10,5;0,6
DSO_0096;57,71;10,074;10,5;0,6
DSO_0097;57,71;19,274;10,5;0,6
DSO_0098;58,59;18,906;10,5;0,6
DSO_0099;57,7;12,88;10,5;0,6
DSO_0100;57,66;7,751;10,5;0,6
DSO_0101;57,83;48,415;10,5;0,6
DSO_0102;57,57;18,699;10,5;0,6
DSO_0103;61,23;8,763;10,5;0,6
DSO_0104;68,29;6,67;10,5;0,6
DSO_0105;60,18;85,767;10,5;0,6
DSO_0106;38,07;3,726;10,5;0,6
DSO_0107;38,02;2,484;10,5;0,6
DSO_0108;38,16;3,312;10,5;0,6
DSO_0109;38;5,52;10,5;0,6
DSO_0110;38,98;10,902;10,5;0,6
DSO_0111;39,31;15,249;10,5;0,6
DSO_0112;55,9;20,953;10,5;0,6
DSO_0113;55,8;14,444;10,5;0,6
DSO_0114;58,16;60,214;10,5;0,6
DSO_0115;54,98;12,673;10,5;0,6
DSO_0116;56,43;8,924;10,5;0,6
DSO_0117;56,57;56,304;10,5;0,6
DSO_0118;57,64;21,39;10,5;0,6
DSO_0119;55,73;20,7;10,5;0,6
DSO_0120;40,15;23,759;10,5;0,6
DSO_0121;55,74;3,519;10,5;0,6
DSO_0122;55,73;26,312;10,5;0,6
DSO_0123;56,38;12,236;10,5;0,6
DSO_0124;55,26;7,13;10,5;0,6
DSO_0125;57,45;8,602;10,5;0,6
DSO_0126;57,6;3,979;10,5;0,6
DSO_0127;57,61;23,828;10,5;0,6
DSO_0128;55,99;19,872;10,5;0,6
DSO_0129;54,55;25,438;10,5;0,6
DSO_0130;54,55;17,572;10,5;0,6
DSO_0131;54,55;10,166;10,5;0,6
DSO_0132;57,76;18,998;10,5;0,6
DSO_0133;59,66;24,104;10,5;0,6
DSO_0134;58,28;88,895;10,5;0,6
DSO_0135;59,38;54,05;10,5;0,6
DSO_0136;70,99;102,511;10,5;0,6
DSO_0137;73,77;37,973;10,5;0,6
DSO_0138;59,89;62,307;10,5;0,6
DSO_0139;55,46;19,941;10,5;0,6
DSO_0140;63,94;12,121;10,5;0,6
DSO_0141;63,8;28,428;10,5;0,6
DSO_0142;64,17;8,97;10,5;0,6
DSO_0143;38,16;8,073;10,5;0,6
DSO_0144;66,87;13,432;10,5;0,6
DSO_0145;62,2;29,049;10,5;0,6
DSO_0146;55,32;21,689;10,5;0,6
DSO_0147;55,27;8,211;10,5;0,6
DSO_0148;56,36;14,536;10,5;0,6
DSO_0149;56,35;25,783;10,5;0,6
DSO_0150;55,26;17,894;10,5;0,6
DSO_0151;38,35;3,496;10,5;0,6
DSO_0152;34,27;17,388;10,5;0,6
DSO_0153;35,75;15,387;10,5;0,6
DSO_0154;56,55;3,588;10,5;0,6
DSO_0155;57,87;32,913;10,5;0,6
DSO_0156;57,85;54,924;10,5;0,6
DSO_0157;57,86;13,271;10,5;0,6
DSO_0158;56,54;12,397;10,5;0,6
DSO_0159;53,86;3,933;10,5;0,6
DSO_0160;40,64;5,451;10,5;0,6
DSO_0161;46,06;9,062;10,5;0,6
DSO_0162;56,69;78,66;10,5;0,6
DSO_0163;59,04;12,627;10,5;0,6
DSO_0164;59,56;10,787;10,5;0,6
DSO_0165;59,75;10,212;10,5;0,6
DSO_0166;48,16;11,638;10,5;0,6
DSO_0167;59,68;9,361;10,5;0,6
DSO_0168;48,19;9,361;10,5;0,6
DSO_0169;48,19;39,652;10,5;0,6
DSO_0170;59,69;49,979;10,5;0,6
DSO_0171;60,3;12,673;10,5;0,6
DSO_0172;57,33;27,347;10,5;0,6
DSO_0173;56,99;5,083;10,5;0,6
DSO_0174;57,03;17,871;10,5;0,6
DSO_0175;57,09;2,53;10,5;0,6
DSO_0176;57,46;25,07;10,5;0,6
DSO_0177;57,5;34,914;10,5;0,6
DSO_0178;57,46;17,963;10,5;0,6
DSO_0179;56,99;21,137;10,5;0,6
DSO_0180;56,99;16,192;10,5;0,6
DSO_0181;58,68;80,063;10,5;0,6
DSO_0182;57,45;8,832;10,5;0,6
DSO_0183;38,16;6,141;10,5;0,6
DSO_0184;57,77;53,866;10,5;0,6
DSO_0185;37,67;9,108;10,5;0,6
DSO_0186;37,64;1,587;10,5;0,6
DSO_0187;38,26;27,6;10,5;0,6
DSO_0188;38,16;14,352;10,5;0,6
DSO_0189;38,16;7,682;10,5;0,6
DSO_0190;55,82;15,916;10,5;0,6
DSO_0191;55,76;1,61;10,5;0,6
DSO_0192;55,06;7,498;10,5;0,6
DSO_0193;55,1;8,832;10,5;0,6
DSO_0194;56,37;16,721;10,5;0,6
DSO_0195;56,37;5,52;10,5;0,6
DSO_0196;54,77;8,717;10,5;0,6
DSO_0197;55,99;17,779;10,5;0,6
DSO_0200;56,22;2,461;10,5;0,6
DSO_0205;35;19,895;10,5;0,6
DSO_0208;34,95;12,88;10,5;0,6
DSO_0211;35,13;26,565;10,5;0,6
DSO_0212;61,76;35,926;10,5;0,6
DSO_0215;61,77;30,659;10,5;0,6
DSO_0216;55,16;15,203;10,5;0,6
DSO_0217;55,06;4,301;10,5;0,6
DSO_0223;51,11;32,66;10,5;0,6
DSO_0224;54,65;9,775;10,5;0,6
DSO_0225;54,65;2,323;10,5;0,6
DSO_0226;53,73;2,369;10,5;0,6
DSO_0227;59,32;8,326;10,5;0,6
DSO_0228;62,2;18,377;10,5;0,6
DSO_0229;46,93;24,955;10,5;0,6
DSO_0230;47,77;20,608;10,5;0,6
DSO_0231;54,65;9,062;10,5;0,6
DSO_0232;54,62;18,262;10,5;0,6
DSO_0233;35,57;13,57;10,5;0,6
DSO_0234;35,56;15,364;10,5;0,6
DSO_0235;54,61;11,822;10,5;0,6
DSO_0236;59,59;38,364;10,5;0,6
DSO_0237;54,76;1,932;10,5;0,6
DSO_0238;54,75;2,369;10,5;0,6
DSO_0239;54,71;9,476;10,5;0,6
DSO_0242;46,44;3,151;10,5;0,6
DSO_0243;35,57;15,019;10,5;0,6
DSO_0244;47,31;12,558;10,5;0,6
DSO_0245;45,03;13,018;10,5;0,6
DSO_0246;54,01;22,793;10,5;0,6
DSO_0247;62,25;25,277;10,5;0,6
DSO_0248;62,25;16,583;10,5;0,6
DSO_0249;62,68;20,493;10,5;0,6
DSO_0250;62,16;28,842;10,5;0,6
DSO_0251;56,26;5,405;10,5;0,6
DSO_0252;38,16;3,289;10,5;0,6
DSO_0253;38,13;13,731;10,5;0,6
DSO_0254;47,31;21,965;10,5;0,6
DSO_0256;61,38;28,152;10,5;0,6
DSO_0257;51,85;9,752;10,5;0,6
DSO_0258;54,29;24,173;10,5;0,6
DSO_0259;54,29;25,208;10,5;0,6
DSO_0260;54,69;10,948;10,5;0,6
DSO_0261;61,56;8,809;10,5;0,6
DSO_0262;57,77;21,735;10,5;0,6
DSO_0263;57,73;4,968;10,5;0,6
DSO_0264;58,43;51,727;10,5;0,6
DSO_0265;58,43;58,995;10,5;0,6
DSO_0266;57,41;42,711;10,5;0,6
DSO_0267;57,7;14,582;10,5;0,6
DSO_0268;52,43;25,484;10,5;0,6
DSO_0269;52,43;67,413;10,5;0,6
DSO_0270;52,44;60,95;10,5;0,6
DSO_0271;78,03;83,789;10,5;0,6
DSO_0272;52,42;77,395;10,5;0,6
DSO_0273;53,94;14,398;10,5;0,6
DSO_0274;52,42;81,834;10,5;0,6
DSO_0275;52,42;74,842;10,5;0,6
DSO_0276;76,12;7,153;10,5;0,6
DSO_0277;76,49;22,241;10,5;0,6
DSO_0278;76,08;111,596;10,5;0,6
DSO_0279;73,87;99,82;10,5;0,6
DSO_0280;73,87;128,225;10,5;0,6
DSO_0281;76,16;35,972;10,5;0,6
DSO_0282;57,59;13,685;10,5;0,6
DSO_0283;58,3;2,024;10,5;0,6
DSO_0284;53,57;13,869;10,5;0,6
DSO_0285;50,75;23,529;10,5;0,6
DSO_0286;51,93;29,647;10,5;0,6
DSO_0287;50,97;31,211;10,5;0,6
DSO_0288;56,32;23,276;10,5;0,6
DSO_0289;40,59;12,834;10,5;0,6
DSO_0290;46,86;5,198;10,5;0,6
DSO_0291;48,97;22,908;10,5;0,6
DSO_0292;49,2;12,88;10,5;0,6
DSO_0293;63,5;12,88;10,5;0,6
DSO_0294;55,35;25,415;10,5;0,6
DSO_0295;54,76;47,15;10,5;0,6
DSO_0296;31,75;17,618;10,5;0,6
DSO_0297;76,08;13,547;10,5;0,6
DSO_0298;58,86;12,627;10,5;0,6
DSO_0299;33,52;19,113;10,5;0,6
DSO_0300;32,33;11,799;10,5;0,6
DSO_0301;62,72;14,168;10,5;0,6
DSO_0302;62,71;41,929;10,5;0,6
DSO_0303;59,81;9,223;10,5;0,6
DSO_0304;59,65;22,517;10,5;0,6
DSO_0305;62,74;12,972;10,5;0,6
DSO_0306;55,31;30,13;10,5;0,6
DSO_0307;58,97;13,34;10,5;0,6
DSO_0308;55,14;3,611;10,5;0,6
DSO_0309;55,25;10,672;10,5;0,6
DSO_0310;52,86;16,79;10,5;0,6
DSO_0311;55,13;11,937;10,5;0,6
DSO_0312;49,23;17,917;10,5;0,6
DSO_0313;49,23;26,082;10,5;0,6
DSO_0314;65,79;4,83;10,5;0,6
DSO_0315;42,07;23,138;10,5;0,6
DSO_0316;54,05;20,263;10,5;0,6
DSO_0317;54,03;11,592;10,5;0,6
DSO_0318;54,03;1,909;10,5;0,6
DSO_0319;54,04;21,206;10,5;0,6
DSO_0320;70,8;31,418;10,5;0,6
DSO_0321;60,94;6,44;10,5;0,6
DSO_0322;60,94;8,188;10,5;0,6
DSO_0323;60,92;41,446;10,5;0,6
DSO_0324;60,92;3,749;10,5;0,6
DSO_0325;70,27;5,405;10,5;0,6
DSO_0326;45,68;9,775;10,5;0,6
DSO_0327;44,13;15,226;10,5;0,6
DSO_0328;45;22,149;10,5;0,6
DSO_0329;53,76;30,061;10,5;0,6
DSO_0330;53,14;8,671;10,5;0,6
DSO_0331;53,25;29,762;10,5;0,6
DSO_0332;49,44;5,704;10,5;0,6
DSO_0333;23,9;3,381;10,5;0,6
DSO_0334;23,9;20,976;10,5;0,6
DSO_0335;33,87;8,74;10,5;0,6
DSO_0336;32,46;17,549;10,5;0,6
DSO_0337;52,45;71,116;10,5;0,6
DSO_0338;52,47;27,623;10,5;0,6
DSO_0339;52,45;22,77;10,5;0,6
DSO_0340;59,83;106,076;10,5;0,6
DSO_0341;59,83;107,433;10,5;0,6
DSO_0342;56,68;5,014;10,5;0,6
DSO_0343;61,05;98,417;10,5;0,6
DSO_0344;74,92;49,979;10,5;0,6
DSO_0345;59,96;15,686;10,5;0,6
DSO_0346;59,94;77,487;10,5;0,6
DSO_0347;59,88;109,572;10,5;0,6
DSO_0348;59,96;52,003;10,5;0,6
DSO_0349;53,1;66,401;10,5;0,6
DSO_0350;77,38;76,567;10,5;0,6
DSO_0351;77,86;137,655;10,5;0,6
DSO_0352;53,11;29,969;10,5;0,6
DSO_0353;53,01;11,132;10,5;0,6
DSO_0354;78,13;41,285;10,5;0,6
DSO_0355;77,31;68,609;10,5;0,6
DSO_0356;57,79;11,431;10,5;0,6
DSO_0357;57,81;2,047;10,5;0,6
DSO_0358;57,68;12,834;10,5;0,6
DSO_0359;58,59;59,823;10,5;0,6
DSO_0360;57,84;57,224;10,5;0,6
DSO_0361;56,63;21,574;10,5;0,6
DSO_0362;57,42;24,127;10,5;0,6
DSO_0363;57,44;36,846;10,5;0,6
DSO_0364;56,69;65,343;10,5;0,6
DSO_0365;49,8;4,968;10,5;0,6
DSO_0366;49,87;13,363;10,5;0,6
DSO_0367;59,62;5,083;10,5;0,6
DSO_0368;57,94;17,825;10,5;0,6
DSO_0369;56,77;30,843;10,5;0,6
DSO_0370;56,65;21,275;10,5;0,6
DSO_0371;56,94;25,852;10,5;0,6
DSO_0372;56,62;29,164;10,5;0,6
DSO_0373;54,93;30,682;10,5;0,6
DSO_0374;54,89;11,638;10,5;0,6
DSO_0375;49,47;11,776;10,5;0,6
DSO_0376;58,65;8,211;10,5;0,6
DSO_0377;57,24;9,798;10,5;0,6
DSO_0378;57,94;10,902;10,5;0,6
DSO_0379;36,4;5,451;10,5;0,6
DSO_0380;54,82;11,362;10,5;0,6
DSO_0381;54,69;22,747;10,5;0,6
DSO_0382;38,34;10,258;10,5;0,6
DSO_0383;67,18;51,497;10,5;0,6
DSO_0384;57,49;20,217;10,5;0,6
DSO_0385;57,49;27,002;10,5;0,6
DSO_0386;59,62;1,863;10,5;0,6
DSO_0387;59,11;73,784;10,5;0,6
DSO_0388;57,49;22,218;10,5;0,6
DSO_0389;57,02;51,129;10,5;0,6
DSO_0390;51,88;21,965;10,5;0,6
DSO_0391;51,92;6,141;10,5;0,6
DSO_0392;50,94;9,591;10,5;0,6
DSO_0393;35,69;14,973;10,5;0,6
DSO_0394;58,55;53,337;10,5;0,6
DSO_0395;58,47;23,506;10,5;0,6
DSO_0396;61,08;17,296;10,5;0,6
DSO_0397;60,98;31,142;10,5;0,6
DSO_0398;61,01;23,621;10,5;0,6
DSO_0399;60,89;16,514;10,5;0,6
DSO_0400;59,24;27,278;10,5;0,6
DSO_0401;55,43;39,123;10,5;0,6
DSO_0402;55,44;42,044;10,5;0,6
DSO_0403;43,93;20,976;10,5;0,6
DSO_0404;55,44;19,987;10,5;0,6
DSO_0405;35,79;15,318;10,5;0,6
DSO_0407;35,64;3,174;10,5;0,6
DSO_0408;41,24;8,188;10,5;0,6
DSO_0409;41,24;16,054;10,5;0,6
DSO_0410;35,69;10,741;10,5;0,6
DSO_0411;35,57;3,542;10,5;0,6
DSO_0412;53,32;21,804;10,5;0,6
DSO_0413;35,69;15,962;10,5;0,6
DSO_0414;35,7;9,039;10,5;0,6
DSO_0415;35,69;13,34;10,5;0,6
DSO_0416;35,69;4,784;10,5;0,6
DSO_0417;35,69;2,277;10,5;0,6
DSO_0418;61,89;30,659;10,5;0,6
DSO_0419;61,82;12,397;10,5;0,6
DSO_0420;61,09;29,325;10,5;0,6
DSO_0421;61,68;1,748;10,5;0,6
DSO_0422;61,35;36,34;10,5;0,6
DSO_0423;54,76;10,718;10,5;0,6
DSO_0424;35,57;20,493;10,5;0,6
DSO_0425;54,48;4,692;10,5;0,6
DSO_0426;56,42;23,966;10,5;0,6
DSO_0427;58,65;11,408;10,5;0,6
DSO_0428;36;20,033;10,5;0,6
DSO_0429;34,95;8,05;10,5;0,6
DSO_0430;56,42;2,599;10,5;0,6
DSO_0431;56,42;25,944;10,5;0,6
DSO_0432;56,6;45,954;10,5;0,6
DSO_0433;34,95;12,305;10,5;0,6
DSO_0436;35,98;16,951;10,5;0,6
DSO_0437;44,59;25,323;10,5;0,6
DSO_0440;35,98;22,425;10,5;0,6
DSO_0441;53,31;14,375;10,5;0,6
DSO_0442;55,01;1,886;10,5;0,6
DSO_0443;53,32;13,202;10,5;0,6
DSO_0444;53,58;9,384;10,5;0,6
DSO_0445;44,58;24,058;10,5;0,6
DSO_0446;44,57;8,602;10,5;0,6
DSO_0447;58,33;9,476;10,5;0,6
DSO_0448;52,9;16,951;10,5;0,6
DSO_0449;52,9;6,302;10,5;0,6
DSO_0450;53,13;6,831;10,5;0,6
DSO_0451;52,9;9,66;10,5;0,6
DSO_0452;57,12;5,681;10,5;0,6
DSO_0453;58,96;2,576;10,5;0,6
DSO_0454;59,02;15,387;10,5;0,6
DSO_0455;56,99;7,36;10,5;0,6
DSO_0456;56,99;2,323;10,5;0,6
DSO_0457;55,1;20,355;10,5;0,6
DSO_0458;55,21;15,042;10,5;0,6
DSO_0459;57,77;11,707;10,5;0,6
DSO_0460;52,89;23,713;10,5;0,6
DSO_0461;58,94;14,881;10,5;0,6
DSO_0462;74,83;52,371;10,5;0,6
DSO_0463;73,5;126,339;10,5;0,6
DSO_0464;35,96;30,682;10,5;0,6
DSO_0465;55,26;7,889;10,5;0,6
DSO_0466;54,8;8,901;10,5;0,6
DSO_0467;54,79;4,278;10,5;0,6
DSO_0468;55,63;17,066;10,5;0,6
DSO_0469;54,8;22,563;10,5;0,6
DSO_0470;43,02;5,451;10,5;0,6
DSO_0471;43,02;23,069;10,5;0,6
DSO_0472;43,04;18,676;10,5;0,6
DSO_0473;43,02;27,209;10,5;0,6
DSO_0474;43,08;16,192;10,5;0,6
DSO_0475;43,16;20,217;10,5;0,6
DSO_0476;57,6;20,309;10,5;0,6
DSO_0477;57,59;2,392;10,5;0,6
DSO_0478;44,58;3,036;10,5;0,6
DSO_0479;44,57;7,659;10,5;0,6
DSO_0480;60,31;13,317;10,5;0,6
DSO_0481;36,83;29,026;10,5;0,6
DSO_0482;36,83;35,972;10,5;0,6
DSO_0483;35,72;24,541;10,5;0,6
DSO_0484;57,09;26,105;10,5;0,6
DSO_0485;37,02;11,247;10,5;0,6
DSO_0486;35,75;30,705;10,5;0,6
DSO_0487;35,73;9,752;10,5;0,6
DSO_0488;35,79;37,881;10,5;0,6
DSO_0489;62,54;11,362;10,5;0,6
DSO_0490;62,42;148,925;10,5;0,6
DSO_0491;62,45;74,474;10,5;0,6
DSO_0492;53,05;5,221;10,5;0,6
DSO_0493;55,69;9,637;10,5;0,6
DSO_0494;58,65;10,787;10,5;0,6
DSO_0495;58,75;29,532;10,5;0,6
DSO_0496;58,69;15,042;10,5;0,6
DSO_0497;58,3;5,52;10,5;0,6
DSO_0498;58,51;46,943;10,5;0,6
DSO_0499;40,45;30,36;10,5;0,6
DSO_0500;58,07;20,539;10,5;0,6
DSO_0501;52,4;27,232;10,5;0,6
DSO_0502;57,12;38,801;10,5;0,6
DSO_0503;40,82;37,49;10,5;0,6
DSO_0504;51,89;77,97;10,5;0,6
DSO_0505;51,94;12,489;10,5;0,6
DSO_0506;59,97;57,247;10,5;0,6
DSO_0507;60;123,901;10,5;0,6
DSO_0508;59,95;41,147;10,5;0,6
DSO_0509;60,12;69,184;10,5;0,6
DSO_0510;55,12;65,619;10,5;0,6
DSO_0511;58,01;7,038;10,5;0,6
DSO_0512;55,02;78,706;10,5;0,6
DSO_0513;38,53;9,844;10,5;0,6
DSO_0514;57,31;5,52;10,5;0,6
DSO_0515;38,53;9,706;10,5;0,6
DSO_0516;62,56;9,913;10,5;0,6
DSO_0517;62,8;35,88;10,5;0,6
DSO_0518;62,21;15,755;10,5;0,6
DSO_0519;62,27;18,492;10,5;0,6
DSO_0520;62,24;10,603;10,5;0,6
DSO_0521;55,67;20,424;10,5;0,6
DSO_0522;63,42;6,509;10,5;0,6
DSO_0523;60,75;31,924;10,5;0,6
DSO_0524;60,75;19,872;10,5;0,6
DSO_0525;60,75;38,939;10,5;0,6
DSO_0526;60,73;17,549;10,5;0,6
DSO_0527;63,4;3,496;10,5;0,6
DSO_0528;60,77;41,354;10,5;0,6
DSO_0529;40,18;10,58;10,5;0,6
DSO_0530;40,17;16,997;10,5;0,6
DSO_0531;40,17;14,789;10,5;0,6
DSO_0532;40,17;19,872;10,5;0,6
DSO_0533;40,17;8,395;10,5;0,6
DSO_0534;60,87;41,078;10,5;0,6
DSO_0535;37,65;6,739;10,5;0,6
DSO_0536;58,14;4,071;10,5;0,6
DSO_0537;37,64;21,804;10,5;0,6
DSO_0538;40,18;10,994;10,5;0,6
DSO_0539;40,25;3,243;10,5;0,6
DSO_0540;44,83;54,625;10,5;0,6
DSO_0541;58,57;14,49;10,5;0,6
DSO_0542;57,99;10,304;10,5;0,6
DSO_0543;58,14;21,321;10,5;0,6
DSO_0544;57,05;6,509;10,5;0,6
DSO_0545;57,04;25,346;10,5;0,6
DSO_0546;57,04;10,12;10,5;0,6
