id,name,alias,type,x,y,height
62023,GS-3355,IND_0649,node other,4114489.892902,3089025.020564,0
62024,IN-2809,,node other,4213779.371233,3207449.522484,0
62025,IN-2808,,node other,4205155.26238,3204331.686956,0
62026,IN-3284,,node other,4168517.63278,3183963.529032,0
62027,IN-2804,,node other,4162379.593812,3181215.892581,0
62028,GS-3097,DSO_2797,node other,4187914.008928,3037466.108424,0
62029,GS-2809,DSO_2794,node other,4184033.270318,3034596.869767,0
62030,IN-2822,,node other,4127597.092574,3067558.613613,0
62031,GS-2359,DSO_2803,node other,4135096.112284,3061259.030105,0
62032,GS-2360,DSO_2801,node other,4134967.102582,3061397.246739,0
62033,IN-2819,,node other,4152302.171694,3047265.391191,0
62034,GS-2722,DSO_2802,node other,4149855.788939,3049857.196623,0
62035,IN-3642,,node other,4211328.805772,2992121.79918,0
62036,IN-2820,,node other,4142079.017925,3055062.952157,0
62037,IN-3273,,node other,4152312.941508,3047258.252067,0
62038,IN-2818,,node other,4173494.984003,3028985.93634,0
62039,GS-7083,IND_0648,node other,4220102.946116,3217731.9125,0
62040,IN-2831,,node other,4171975.23145,3028138.459478,0
62041,GS-3095,DSO_2788,node other,4175409.294662,3030286.060308,0
62042,GS-0564,blending_0011,node other,4172009.762293,3028145.818981,0
62043,IN-2829,,node other,4153703.934292,3177411.44075,0
62044,IN-2830,,node other,4158099.819506,3177210.768104,0
62045,GS-2669,DSO_2790,node other,4204506.841559,3038593.181926,0
62046,GS-3392,IND_0647,node other,4162947.763625,3176295.177371,0
62047,IN-2828,,node other,4162918.276877,3176367.905554,0
62048,GS-2671,DSO_2795,node other,4199720.515222,3038137.746235,0
62049,GS-2672,DSO_2796,node other,4199663.329726,3038144.531158,0
62050,GS-3110,DSO_2791,node other,4197769.553938,3039347.536507,0
62051,GS-3111,DSO_2792,node other,4195085.68461,3039031.034709,0
62052,GS-3099,DSO_2793,node other,4194233.641497,3038799.476404,0
62053,GS-3094,DSO_2798,node other,4193796.470632,3038855.319974,0
62054,GS-2836,DSO_2854,node other,4087126.410014,3155941.771998,0
62055,GS-2840,DSO_2839,node other,4085399.045833,3155584.553068,0
62056,GS-2839,DSO_2841,node other,4084698.315525,3151486.611621,0
62057,IN-3559,,node other,4085780.662661,3154613.84263,0
62058,GS-2842,DSO_2838,node other,4085737.298123,3154554.81042,0
62059,GS-2761,DSO_2842,node other,4084593.524753,3147390.151273,0
62060,GS-3250,TPP_0122,node other,4088526.774137,3145473.663908,0
62061,IN-3485,,node other,4119633.772307,3078103.599689,0
62062,GS-3135,DSO_2884,node other,4079531.491679,3135364.565042,0
62063,GS-3395,IND_0657,node other,4079443.738908,3133990.856565,0
62064,GS-3141,DSO_2893,node other,4077941.367844,3132305.689383,0
62065,GS-3136,DSO_2845,node other,4079045.274142,3133138.197956,0
62066,GS-2837,DSO_2840,node other,4084615.64976,3150482.111506,0
62067,GS-2835,DSO_2843,node other,4084535.48605,3149458.225447,0
62068,GS-2767,DSO_2891,node other,4080580.03079,3138843.874117,0
62069,GS-2741,DSO_2833,node other,4107483.907604,3091110.129037,0
