node_name,node_type,impact_pct
DSO_1971,DSO,0.0
X_1811,X,0.0
X_1744,X,0.0
DSO_1937,DSO,0.0
X_2726,X,0.0
X_2458,X,0.0
X_3335,X,0.0
X_1741,X,0.0
IND_0417,IND,0.0
X_3336,X,0.0
X_1878,X,0.0
DSO_1935,DSO,0.0
X_1775,X,0.0
X_1774,X,0.0
DSO_1947,DSO,0.0
X_2836,X,0.0
DSO_1949,DSO,0.0
X_1780,X,0.0
IND_0620,IND,0.0
X_1802,X,0.0
X_3038,X,0.0
X_3091,X,0.0
DSO_1943,DSO,0.0
X_2792,X,0.0
DSO_1944,DSO,0.0
X_1759,X,0.0
DSO_2150,DSO,0.0
X_2185,X,0.0
DSO_1942,DSO,0.0
DSO_2056,DSO,0.0
X_2074,X,0.0
X_1984,X,0.0
TPP_0088,TPP,0.0
X_1812,X,0.0
X_1807,X,0.0
DSO_1970,DSO,0.0
X_2161,X,0.0
X_1883,X,0.0
DSO_2142,DSO,0.0
X_1771,X,0.0
X_2872,X,0.0
X_2873,X,0.0
X_1772,X,0.0
X_1785,X,0.0
DSO_1948,DSO,0.0
DSO_1950,DSO,0.0
DSO_2246,DSO,0.002381707088946826
X_1786,X,0.0
X_1814,X,0.0
DSO_1975,DSO,0.0
X_1816,X,0.0
DSO_2419,DSO,0.0
DSO_2414,DSO,0.0
X_2022,X,0.0007391791249692116
X_2705,X,0.0
X_2706,X,0.0
DSO_2354,DSO,0.0
DSO_1976,DSO,0.0
DSO_1974,DSO,0.0
DSO_1978,DSO,0.0
CS15-NY-02,CS,0.0026721176295807
X_1862,X,0.0
DSO_1972,DSO,0.0026721176295807
X_1815,X,0.0
IND_0429,IND,0.0
X_2490,X,0.0
X_3215,X,0.0
X_2478,X,0.0
X_2489,X,0.0
X_1764,X,0.0
DSO_2181,DSO,0.0
DSO_2177,DSO,0.0
DSO_2783,DSO,0.00011407229251142581
DSO_1939,DSO,0.0
X_2450,X,0.0
X_2474,X,0.0
DSO_2311,DSO,0.0
X_2476,X,0.0
X_3213,X,0.0
X_2496,X,0.0
X_2487,X,0.0
DSO_1968,DSO,0.0
DSO_1964,DSO,0.0
DSO_1967,DSO,0.0
DSO_1963,DSO,0.0
X_2381,X,0.0011972104349949116
X_1803,X,0.0011972104349949116
X_3093,X,0.0
DSO_1965,DSO,0.0011972104349949116
DSO_1956,DSO,0.0
DSO_1952,DSO,0.0
X_1793,X,0.0
DSO_1953,DSO,0.0
DSO_1957,DSO,0.0
X_2011,X,0.0
X_2012,X,0.0
